feature,importance
fe7_ext_sources_mean,0.4990919012265729
amt_annuity,0.08133953599309551
install_late_rate,0.07618093760066406
fe10_composite_risk_score,0.06797594437135723
days_birth,0.04250208099419437
fe4_days_employed_ratio,0.03010297236995996
fe5_age_years,0.029148324899392664
fe8_ext_sources_min,0.023291438938905586
install_amt_payment_mean,0.02283799084635312
cc_amt_balance_mean,0.0218130662073809
prev_amt_credit_mean,0.020484658987323538
pos_records_count,0.017584609734200205
days_last_phone_change,0.014891960195773355
bureau_credit_count,0.014494156873318936
fe1_credit_income_ratio,0.01439547980241287
fe6_income_per_person,0.012501987412396902
landarea_mode,0.006166673454279808
cc_credit_limit_mean,0.005196280092418109
days_id_publish,0.0
days_registration,0.0
days_employed,0.0
region_population_relative,0.0
amt_credit,0.0
amt_goods_price,0.0
cnt_children,0.0
amt_income_total,0.0
years_beginexpluatation_avg,0.0
years_build_avg,0.0
own_car_age,0.0
cnt_fam_members,0.0
hour_appr_process_start,0.0
reg_region_not_live_region,0.0
region_rating_client,0.0
region_rating_client_w_city,0.0
reg_city_not_live_city,0.0
reg_city_not_work_city,0.0
live_city_not_work_city,0.0
ext_source_1,0.0
ext_source_2,0.0
ext_source_3,0.0
reg_region_not_work_region,0.0
live_region_not_work_region,0.0
years_build_mode,0.0
years_beginexpluatation_mode,0.0
entrances_mode,0.0
commonarea_mode,0.0
floorsmax_mode,0.0
floorsmin_mode,0.0
livingapartments_mode,0.0
elevators_mode,0.0
nonlivingapartments_mode,0.0
nonlivingarea_mode,0.0
apartments_medi,0.0
basementarea_medi,0.0
years_beginexpluatation_medi,0.0
years_build_medi,0.0
commonarea_medi,0.0
livingarea_mode,0.0
elevators_medi,0.0
entrances_medi,0.0
commonarea_avg,0.0
elevators_avg,0.0
entrances_avg,0.0
floorsmax_avg,0.0
floorsmin_avg,0.0
landarea_avg,0.0
livingapartments_avg,0.0
livingarea_avg,0.0
nonlivingapartments_avg,0.0
nonlivingarea_avg,0.0
apartments_mode,0.0
basementarea_mode,0.0
apartments_avg,0.0
basementarea_avg,0.0
amt_req_credit_bureau_day,0.0
amt_req_credit_bureau_hour,0.0
def_60_cnt_social_circle,0.0
obs_60_cnt_social_circle,0.0
obs_30_cnt_social_circle,0.0
def_30_cnt_social_circle,0.0
totalarea_mode,0.0
nonlivingarea_medi,0.0
landarea_medi,0.0
nonlivingapartments_medi,0.0
livingarea_medi,0.0
livingapartments_medi,0.0
floorsmax_medi,0.0
floorsmin_medi,0.0
amt_req_credit_bureau_year,0.0
amt_req_credit_bureau_week,0.0
bureau_cnt_prolong_mean,0.0
bureau_credit_day_overdue_mean,0.0
prev_approved_count,0.0
bureau_credit_limit_mean,0.0
prev_refused_count,0.0
bureau_amt_credit_sum_mean,0.0
amt_req_credit_bureau_qrt,0.0
amt_req_credit_bureau_mon,0.0
bureau_days_credit_min,0.0
bureau_amt_credit_sum_debt_mean,0.0
bureau_amt_credit_sum_debt_total,0.0
bureau_active_credit_count,0.0
bureau_closed_credit_count,0.0
bureau_overdue_count,0.0
bureau_amt_credit_sum_total,0.0
bureau_days_credit_max,0.0
pos_sk_dpd_mean,0.0
pos_sk_dpd_max,0.0
pos_months_balance_mean,0.0
prev_refusal_rate,0.0
prev_rate_down_mean,0.0
prev_cnt_payment_mean,0.0
prev_days_decision_max,0.0
prev_amt_annuity_mean,0.0
prev_app_count,0.0
prev_amt_credit_max,0.0
prev_canceled_count,0.0
pos_sk_dpd_def_max,0.0
cc_records_count,0.0
pos_dpd_count,0.0
cc_amt_balance_max,0.0
pos_cnt_instalment_mean,0.0
install_dpd_max,0.0
install_payment_delay_mean,0.0
install_records_count,0.0
cc_dpd_count,0.0
cc_sk_dpd_mean,0.0
cc_sk_dpd_max,0.0
cc_payment_total_mean,0.0
cc_amt_drawings_current_mean,0.0
cc_amt_drawings_current_sum,0.0
fe2_annuity_income_ratio,0.0
install_payment_ratio_mean,0.0
install_payment_ratio_min,0.0
install_late_count,0.0
install_amt_instalment_mean,0.0
fe3_payment_rate,0.0
fe9_bureau_overdue_rate,0.0
