feature,importance
fe7_ext_sources_mean,386
fe10_composite_risk_score,170
days_birth,123
fe3_payment_rate,114
ext_source_2,96
amt_annuity,93
install_late_rate,91
bureau_days_credit_max,90
fe2_annuity_income_ratio,88
fe8_ext_sources_min,85
fe6_income_per_person,83
days_id_publish,81
install_payment_delay_mean,79
fe5_age_years,78
days_registration,78
pos_records_count,75
days_last_phone_change,74
region_population_relative,74
pos_months_balance_mean,73
ext_source_3,71
bureau_days_credit_min,70
prev_days_decision_max,70
prev_cnt_payment_mean,68
pos_cnt_instalment_mean,68
fe1_credit_income_ratio,67
fe4_days_employed_ratio,67
amt_income_total,63
bureau_amt_credit_sum_mean,61
prev_amt_annuity_mean,60
ext_source_1,57
install_records_count,54
prev_rate_down_mean,54
prev_amt_credit_max,50
install_payment_ratio_mean,48
bureau_amt_credit_sum_total,47
bureau_amt_credit_sum_debt_total,46
bureau_amt_credit_sum_debt_mean,45
cc_amt_balance_mean,43
install_amt_instalment_mean,42
install_amt_payment_mean,42
install_dpd_max,42
amt_credit,42
prev_amt_credit_mean,38
bureau_credit_limit_mean,38
hour_appr_process_start,34
bureau_credit_count,33
cc_credit_limit_mean,32
cc_amt_drawings_current_mean,30
prev_app_count,30
own_car_age,28
days_employed,24
def_60_cnt_social_circle,24
cc_records_count,23
pos_sk_dpd_mean,21
install_payment_ratio_min,21
install_late_count,20
pos_sk_dpd_def_max,20
nonlivingarea_avg,19
commonarea_mode,19
amt_goods_price,17
cc_dpd_count,16
amt_req_credit_bureau_year,15
years_beginexpluatation_medi,15
years_beginexpluatation_mode,14
floorsmax_avg,14
cc_amt_balance_max,14
amt_req_credit_bureau_day,14
livingarea_avg,14
totalarea_mode,13
amt_req_credit_bureau_mon,12
region_rating_client,12
cc_payment_total_mean,11
years_beginexpluatation_avg,11
elevators_mode,11
amt_req_credit_bureau_qrt,11
floorsmin_avg,10
pos_dpd_count,10
livingarea_mode,10
landarea_mode,10
cnt_fam_members,10
obs_30_cnt_social_circle,9
cc_amt_drawings_current_sum,9
basementarea_avg,8
nonlivingarea_mode,8
years_build_mode,8
floorsmax_mode,8
landarea_avg,7
nonlivingarea_medi,7
basementarea_medi,7
basementarea_mode,7
obs_60_cnt_social_circle,7
cnt_children,6
pos_sk_dpd_max,6
livingapartments_avg,5
nonlivingapartments_avg,5
live_city_not_work_city,5
apartments_avg,5
years_build_avg,5
entrances_avg,5
livingapartments_medi,5
landarea_medi,4
apartments_mode,4
commonarea_avg,4
livingapartments_mode,4
entrances_mode,4
elevators_avg,4
def_30_cnt_social_circle,2
reg_city_not_live_city,2
live_region_not_work_region,2
cc_sk_dpd_mean,2
floorsmin_mode,2
commonarea_medi,2
apartments_medi,2
amt_req_credit_bureau_week,1
nonlivingapartments_mode,1
floorsmax_medi,1
years_build_medi,1
nonlivingapartments_medi,1
region_rating_client_w_city,1
livingarea_medi,1
reg_region_not_work_region,0
reg_city_not_work_city,0
amt_req_credit_bureau_hour,0
entrances_medi,0
floorsmin_medi,0
elevators_medi,0
reg_region_not_live_region,0
prev_refusal_rate,0
bureau_credit_day_overdue_mean,0
bureau_cnt_prolong_mean,0
bureau_active_credit_count,0
prev_approved_count,0
prev_refused_count,0
prev_canceled_count,0
bureau_closed_credit_count,0
bureau_overdue_count,0
cc_sk_dpd_max,0
fe9_bureau_overdue_rate,0
