feature,importance
bureau_days_credit_min,6.681028721727037e-05
days_last_phone_change,4.5592148322351295e-05
install_amt_payment_mean,4.555703601802802e-05
install_amt_instalment_mean,4.486035946122238e-05
bureau_days_credit_max,3.089993216496304e-05
amt_annuity,2.4373458567289317e-05
prev_days_decision_max,1.726960624190181e-05
days_registration,1.661511605010818e-05
prev_amt_annuity_mean,1.1506133535506411e-05
cc_amt_drawings_current_mean,1.0854143914414663e-05
days_birth,6.264789868890617e-06
days_id_publish,6.054396785935258e-06
pos_sk_dpd_max,5.4459153515439715e-06
cc_payment_total_mean,4.774525374573325e-06
cc_amt_balance_mean,4.122771424532009e-06
bureau_credit_limit_mean,4.078712828745516e-06
install_dpd_max,3.652073645817899e-06
amt_goods_price,3.541324208307293e-06
amt_credit,2.7344079513802362e-06
pos_sk_dpd_mean,1.9580909900281643e-06
cc_sk_dpd_max,1.4013355306798553e-06
days_employed,1.167618052960906e-06
prev_cnt_payment_mean,9.35935480086464e-07
cc_amt_balance_max,7.454648922778198e-07
bureau_amt_credit_sum_mean,6.943335869766897e-07
cc_credit_limit_mean,6.608968643258195e-07
pos_cnt_instalment_mean,6.260979083346859e-07
pos_months_balance_mean,6.188777302009892e-07
cc_records_count,4.806775743499689e-07
cc_sk_dpd_mean,4.644573094094367e-07
bureau_credit_day_overdue_mean,4.5488133952972895e-07
amt_income_total,4.1859513033137704e-07
install_late_count,4.035232008708222e-07
prev_amt_credit_max,3.7185729760497257e-07
prev_app_count,2.72844661806438e-07
pos_dpd_count,2.0300340462575635e-07
bureau_amt_credit_sum_debt_mean,2.013546916866311e-07
own_car_age,1.774366249372188e-07
prev_amt_credit_mean,1.7722627346130893e-07
hour_appr_process_start,1.740203731490808e-07
fe6_income_per_person,1.7078611471694057e-07
fe1_credit_income_ratio,1.612470270676732e-07
pos_sk_dpd_def_max,1.4458761435588722e-07
bureau_credit_count,1.3541582407130397e-07
install_payment_ratio_mean,1.1618910504112568e-07
cc_amt_drawings_current_sum,1.1239927695262938e-07
region_rating_client,1.0811544233737917e-07
region_rating_client_w_city,1.0687341946595889e-07
fe2_annuity_income_ratio,8.540563183132124e-08
cc_dpd_count,8.274238707334432e-08
obs_30_cnt_social_circle,8.048775958426898e-08
obs_60_cnt_social_circle,7.988670277701829e-08
amt_req_credit_bureau_year,7.983984472447039e-08
cnt_fam_members,6.260627832635089e-08
install_payment_delay_mean,5.6243532019555285e-08
fe8_ext_sources_min,5.4226327471760175e-08
bureau_amt_credit_sum_debt_total,4.816020975879747e-08
fe7_ext_sources_mean,4.7404158972853884e-08
cnt_children,4.6708705580743146e-08
ext_source_3,4.502552395202075e-08
