feature,importance
fe7_ext_sources_mean,0.053408884
floorsmax_mode,0.019110493
years_build_mode,0.016912635
livingapartments_avg,0.015716052
cc_amt_balance_mean,0.015593458
apartments_medi,0.0151260225
live_city_not_work_city,0.013931111
fe10_composite_risk_score,0.013216126
install_late_rate,0.012576771
bureau_days_credit_max,0.012366862
fe5_age_years,0.01233002
pos_sk_dpd_def_max,0.012188594
fe8_ext_sources_min,0.011941582
install_dpd_max,0.011888711
nonlivingarea_mode,0.011561955
cnt_fam_members,0.011299579
fe1_credit_income_ratio,0.0110778175
pos_dpd_count,0.010737901
basementarea_medi,0.010690019
livingapartments_mode,0.010672786
prev_cnt_payment_mean,0.0104714045
amt_req_credit_bureau_year,0.010360716
ext_source_1,0.010268316
fe2_annuity_income_ratio,0.010216785
amt_annuity,0.010207157
livingarea_medi,0.010104983
ext_source_3,0.010057055
cc_amt_drawings_current_mean,0.009999855
cc_amt_drawings_current_sum,0.009979442
basementarea_mode,0.009964866
amt_goods_price,0.009894634
days_birth,0.009839337
install_amt_payment_mean,0.0097373845
livingapartments_medi,0.00969117
fe4_days_employed_ratio,0.009675022
install_payment_ratio_mean,0.009660298
floorsmax_avg,0.009604985
cnt_children,0.009149053
bureau_amt_credit_sum_mean,0.009017374
prev_amt_credit_mean,0.008817835
days_last_phone_change,0.008772474
bureau_amt_credit_sum_debt_total,0.008743122
bureau_days_credit_min,0.008673785
pos_sk_dpd_mean,0.008649731
years_build_avg,0.008642701
days_id_publish,0.008585675
ext_source_2,0.00856423
install_late_count,0.00855841
fe3_payment_rate,0.008555398
fe6_income_per_person,0.0085407095
prev_days_decision_max,0.008478628
pos_sk_dpd_max,0.0084088985
bureau_credit_count,0.008314475
apartments_mode,0.008277458
reg_region_not_live_region,0.008162343
amt_credit,0.008125486
amt_req_credit_bureau_mon,0.008026782
livingarea_avg,0.008009094
install_amt_instalment_mean,0.007994931
floorsmin_avg,0.007990339
own_car_age,0.007985266
pos_records_count,0.007970705
years_beginexpluatation_medi,0.0077882544
landarea_medi,0.007691812
commonarea_medi,0.0076835263
def_60_cnt_social_circle,0.00763875
bureau_amt_credit_sum_total,0.0076386402
floorsmin_medi,0.0076342984
hour_appr_process_start,0.007582679
amt_income_total,0.007539856
cc_credit_limit_mean,0.0075363717
install_records_count,0.007488361
totalarea_mode,0.0073076966
pos_months_balance_mean,0.0072941496
years_beginexpluatation_avg,0.0072900937
entrances_mode,0.007144821
pos_cnt_instalment_mean,0.00713182
install_payment_ratio_min,0.0071010347
install_payment_delay_mean,0.0070011285
amt_req_credit_bureau_week,0.0069839787
prev_amt_credit_max,0.0068720933
bureau_credit_limit_mean,0.0068506096
landarea_mode,0.00676167
elevators_mode,0.006724514
days_employed,0.0066868872
days_registration,0.0065575913
basementarea_avg,0.006462944
prev_amt_annuity_mean,0.006291128
bureau_amt_credit_sum_debt_mean,0.0062543754
prev_app_count,0.006077202
region_rating_client_w_city,0.0060688085
nonlivingarea_avg,0.005889557
landarea_avg,0.005779859
livingarea_mode,0.005760715
prev_rate_down_mean,0.0057374705
obs_60_cnt_social_circle,0.0056635546
region_rating_client,0.005594309
years_beginexpluatation_mode,0.0055916887
cc_sk_dpd_mean,0.005587879
cc_dpd_count,0.0054421816
commonarea_mode,0.005340898
cc_amt_balance_max,0.005248353
region_population_relative,0.004866518
nonlivingapartments_avg,0.0046451404
cc_payment_total_mean,0.0043255007
commonarea_avg,0.0042131864
amt_req_credit_bureau_qrt,0.0040508523
amt_req_credit_bureau_day,0.003906331
cc_records_count,0.0035461509
bureau_overdue_count,0.0031115408
entrances_avg,0.0028025545
reg_city_not_live_city,0.0027961978
nonlivingarea_medi,0.002794598
nonlivingapartments_mode,0.0026388038
obs_30_cnt_social_circle,0.002488383
def_30_cnt_social_circle,0.0021163905
apartments_avg,0.0018805773
reg_region_not_work_region,0.0
reg_city_not_work_city,0.0
live_region_not_work_region,0.0
elevators_medi,0.0
elevators_avg,0.0
amt_req_credit_bureau_hour,0.0
floorsmax_medi,0.0
entrances_medi,0.0
nonlivingapartments_medi,0.0
years_build_medi,0.0
floorsmin_mode,0.0
bureau_credit_day_overdue_mean,0.0
bureau_cnt_prolong_mean,0.0
prev_refusal_rate,0.0
prev_approved_count,0.0
prev_refused_count,0.0
prev_canceled_count,0.0
bureau_active_credit_count,0.0
bureau_closed_credit_count,0.0
cc_sk_dpd_max,0.0
fe9_bureau_overdue_rate,0.0
