threshold,f2,f1,recall,precision,cout_metier,fn,fp,tn,tp
0.05,0.3091,0.152,0.9944,0.0823,55354,28,55074,1464,4937
0.055,0.3091,0.152,0.994,0.0823,55326,30,55026,1512,4935
0.0601,0.3091,0.152,0.994,0.0823,55326,30,55026,1512,4935
0.0651,0.3093,0.1521,0.994,0.0824,55290,30,54990,1548,4935
0.0701,0.3093,0.1521,0.994,0.0824,55290,30,54990,1548,4935
0.0752,0.3093,0.1521,0.994,0.0824,55290,30,54990,1548,4935
0.0802,0.3109,0.1532,0.9911,0.083,54791,44,54351,2187,4921
0.0852,0.3111,0.1533,0.9909,0.0831,54737,45,54287,2251,4920
0.0903,0.3111,0.1533,0.9909,0.0831,54737,45,54287,2251,4920
0.0953,0.3111,0.1533,0.9909,0.0831,54737,45,54287,2251,4920
0.1003,0.3111,0.1533,0.9909,0.0831,54737,45,54287,2251,4920
0.1054,0.3114,0.1535,0.9909,0.0832,54660,45,54210,2328,4920
0.1104,0.3114,0.1535,0.9909,0.0832,54660,45,54210,2328,4920
0.1154,0.3155,0.1562,0.9849,0.0848,53493,75,52743,3795,4890
0.1205,0.3154,0.1562,0.9839,0.0848,53507,80,52707,3831,4885
0.1255,0.3158,0.1565,0.9823,0.085,53357,88,52477,4061,4877
0.1305,0.3158,0.1565,0.9823,0.085,53357,88,52477,4061,4877
0.1356,0.3187,0.1585,0.9782,0.0862,52556,108,51476,5062,4857
0.1406,0.3199,0.1592,0.978,0.0867,52274,109,51184,5354,4856
0.1456,0.3208,0.1599,0.9734,0.0871,51955,132,50635,5903,4833
0.1507,0.3208,0.1599,0.9734,0.0871,51955,132,50635,5903,4833
0.1557,0.3208,0.1599,0.9734,0.0871,51955,132,50635,5903,4833
0.1607,0.3214,0.1603,0.9732,0.0874,51813,133,50483,6055,4832
0.1658,0.3218,0.1606,0.9726,0.0875,51706,136,50346,6192,4829
0.1708,0.3218,0.1606,0.9726,0.0875,51706,136,50346,6192,4829
0.1758,0.3223,0.1609,0.9724,0.0877,51576,137,50206,6332,4828
0.1809,0.3223,0.1609,0.9724,0.0877,51576,137,50206,6332,4828
0.1859,0.3273,0.1644,0.9646,0.0899,50261,176,48501,8037,4789
0.1909,0.3273,0.1644,0.9646,0.0899,50261,176,48501,8037,4789
0.196,0.3347,0.1697,0.9511,0.0932,48382,243,45952,10586,4722
0.201,0.3367,0.1711,0.948,0.094,47922,258,45342,11196,4707
0.206,0.3366,0.1711,0.9474,0.0941,47911,261,45301,11237,4704
0.2111,0.3367,0.1712,0.947,0.0941,47887,263,45257,11281,4702
0.2161,0.3367,0.1712,0.947,0.0941,47887,263,45257,11281,4702
0.2211,0.337,0.1714,0.9466,0.0942,47831,265,45181,11357,4700
0.2262,0.3384,0.1725,0.9436,0.0949,47480,280,44680,11858,4685
0.2312,0.3384,0.1725,0.9436,0.0949,47480,280,44680,11858,4685
0.2362,0.3382,0.1725,0.9406,0.095,47461,295,44511,12027,4670
0.2413,0.3381,0.1725,0.9392,0.095,47448,302,44428,12110,4663
0.2463,0.3383,0.1727,0.9386,0.0951,47396,305,44346,12192,4660
0.2513,0.3383,0.1727,0.9376,0.0951,47389,310,44289,12249,4655
0.2564,0.3382,0.1727,0.937,0.0951,47384,313,44254,12284,4652
0.2614,0.3384,0.1728,0.937,0.0952,47346,313,44216,12322,4652
0.2664,0.34,0.1744,0.9271,0.0962,46842,362,43222,13316,4603
0.2715,0.3427,0.1764,0.9219,0.0975,46227,388,42347,14191,4577
0.2765,0.3427,0.1764,0.9219,0.0975,46227,388,42347,14191,4577
0.2815,0.3491,0.1817,0.9055,0.101,44728,469,40038,16500,4496
0.2866,0.349,0.1817,0.9029,0.101,44709,482,39889,16649,4483
0.2916,0.3488,0.1818,0.9009,0.1011,44699,492,39779,16759,4473
0.2966,0.3488,0.1818,0.9009,0.1011,44699,492,39779,16759,4473
0.3017,0.3526,0.1852,0.887,0.1034,43793,561,38183,18355,4404
0.3067,0.3529,0.1855,0.8854,0.1036,43715,569,38025,18513,4396
0.3117,0.3535,0.1863,0.88,0.1042,43524,596,37564,18974,4369
0.3168,0.3535,0.1863,0.88,0.1042,43524,596,37564,18974,4369
0.3218,0.3535,0.1863,0.88,0.1042,43524,596,37564,18974,4369
